Anno,Città e paese ospitante,Paese vincitore,Artista,Canzone,Lingua,Città Ospitante,Paese Ospitante
1956,"Lugano, Svizzera", Svizzera,Lys Assia,Refrain,francese,Lugano, Svizzera
1957,"Francoforte sul Meno, Germania Ovest", Paesi Bassi,Corry Brokken,Net als toen,olandese,Francoforte sul Meno, Germania Ovest
1958,"Hilversum, Paesi Bassi", Francia,André Claveau,"Dors, mon amour",francese,Hilversum, Paesi Bassi
1959,"Cannes, Francia", Paesi Bassi,Teddy Scholten,n Beetje,olandese,Cannes, Francia
1960,"Londra, Regno Unito", Francia,Jacqueline Boyer,Tom Pillibi,francese,Londra, Regno Unito
1961,"Cannes, Francia", Lussemburgo,Jean-Claude Pascal,Nous les amoureux,francese,Cannes, Francia
1962,"Lussemburgo, Lussemburgo", Francia,Isabelle Aubret,Un premier amour,francese,Lussemburgo, Lussemburgo
1963,"Londra, Regno Unito", Danimarca,Grethe e Jørgen Ingmann,Dansevise,danese,Londra, Regno Unito
1964,"Copenaghen, Danimarca", Italia,Gigliola Cinquetti,Non ho l'età (Per amarti),italiano,Copenaghen, Danimarca
1965,"Napoli, Italia", Lussemburgo,France Gall,"Poupée de cire, poupée de son",francese,Napoli, Italia
1966,"Lussemburgo, Lussemburgo", Austria,Udo Jürgens,"Merci, Chérie","tedesco, francese",Lussemburgo, Lussemburgo
1967,"Vienna, Austria", Regno Unito,Sandie Shaw,Puppet on a String,inglese,Vienna, Austria
1968,"Londra, Regno Unito",Spagna,Massiel,"La, la, la",spagnolo,Londra, Regno Unito
1969,"Madrid, Spagna", Francia,Frida Boccara,"Un jour, un enfant",francese,Madrid, Spagna
1969,"Madrid, Spagna", Paesi Bassi,Lenny Kuhr,De troubadour,olandese,Madrid, Spagna
1969,"Madrid, Spagna", Regno Unito,Lulu,Boom Bang-a-bang,inglese,Madrid, Spagna
1969,"Madrid, Spagna",Spagna,Salomé,Vivo cantando,spagnolo,Madrid, Spagna
1970,"Amsterdam, Paesi Bassi", Irlanda,Dana,All Kinds of Everything,inglese,Amsterdam, Paesi Bassi
1971,"Dublino, Irlanda", Principato di Monaco,Séverine,"Un banc, un arbre, une rue",francese,Dublino, Irlanda
1972,"Edimburgo, Regno Unito", Lussemburgo,Vicky Léandros,Après toi,francese,Edimburgo, Regno Unito
1973,"Lussemburgo, Lussemburgo", Lussemburgo,Anne-Marie David,Tu te reconnaîtras,francese,Lussemburgo, Lussemburgo
1974,"Brighton, Regno Unito", Svezia,ABBA,Waterloo,inglese,Brighton, Regno Unito
